N,Z,E,U(E),known,A,N-Z,N/Z
32,15,7209.0,13.0,0,47,17,2.1333333333333333
31,16,7652.0,9.0,0,47,15,1.9375
30,17,7992.0,4.0,0,47,13,1.7647058823529411
29,18,8311.425,0.0258,1,47,11,1.6111111111111112
28,19,8514.8795,0.0297,1,47,9,1.4736842105263157
27,20,8639.3548,0.0473,1,47,7,1.35
26,21,8665.0958,0.0411,1,47,5,1.2380952380952381
25,22,8661.2325,0.0017,1,47,3,1.1363636363636365
24,23,8582.2348,0.0024,1,47,1,1.0434782608695652
23,24,8407.2067,0.1106,1,47,-1,0.9583333333333334
22,25,8135.3117,0.6738,1,47,-3,0.88
21,26,7790.0,11.0,0,47,-5,0.8076923076923077
20,27,7396.0,13.0,0,47,-7,0.7407407407407407
32,16,7552.0,10.0,0,48,16,2.0
31,17,7883.0,10.0,0,48,14,1.8235294117647058
30,18,8243.6656,0.3493,1,48,12,1.6666666666666667
29,19,8434.2324,0.0161,1,48,10,1.5263157894736843
28,20,8666.6916,0.0004,1,48,8,1.4
27,21,8656.2097,0.1031,1,48,6,1.2857142857142858
26,22,8723.0122,0.0016,1,48,4,1.1818181818181819
25,23,8623.0686,0.0202,1,48,2,1.0869565217391304
24,24,8572.2553,0.1523,1,48,0,1.0
23,25,8274.1924,0.1396,1,48,-2,0.92
22,26,8022.7254,1.9212,1,48,-4,0.8461538461538461
21,27,7595.0,10.0,0,48,-6,0.7777777777777778
20,28,7236.0,9.0,0,48,-8,0.7142857142857143
33,16,7400.0,12.0,0,49,17,2.0625
32,17,7785.0,8.0,0,49,15,1.8823529411764706
31,18,8132.0,8.0,0,49,13,1.7222222222222223
30,19,8372.2753,0.0164,1,49,11,1.5789473684210527
29,20,8594.85,0.0036,1,49,9,1.45
28,21,8686.2805,0.0463,1,49,7,1.3333333333333333
27,22,8711.1625,0.0016,1,49,5,1.2272727272727273
26,23,8682.9135,0.0168,1,49,3,1.1304347826086956
25,24,8613.2777,0.0449,1,49,1,1.0416666666666667
24,25,8439.915,0.0452,1,49,-1,0.96
23,26,8161.3121,0.4943,1,49,-3,0.8846153846153846
22,27,7840.0,10.0,0,49,-5,0.8148148148148148
21,28,7450.0,12.0,0,49,-7,0.75
33,17,7651.0,8.0,0,50,16,1.9411764705882353
32,18,8054.0,10.0,0,50,14,1.7777777777777777
31,19,8288.5833,0.1546,1,50,12,1.631578947368421
30,20,8550.1639,0.0317,1,50,10,1.5
29,21,8633.4747,0.0503,1,50,8,1.380952380952381
28,22,8755.7227,0.0017,1,50,6,1.2727272727272727
27,23,8695.9032,0.0019,1,50,4,1.173913043478261
26,24,8701.0188,0.0019,1,50,2,1.0833333333333333
25,25,8532.6823,0.0023,1,50,0,1.0
24,26,8354.0268,0.1677,1,50,-2,0.9230769230769231
23,27,8000.6387,2.515,1,50,-4,0.8518518518518519
22,28,7702.0,10.0,0,50,-6,0.7857142857142857
34,17,7530.0,14.0,0,51,17,2.0
33,18,7922.0,8.0,0,51,15,1.8333333333333333
32,19,8221.335,0.2557,1,51,13,1.6842105263157894
